quote,author
“Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely.”,Roy T. Bennett
“Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.”,Roy T. Bennett
"“Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine.”",Roy T. Bennett
“Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.”,Roy T. Bennett
"“It’s only after you’ve stepped outside your comfort zone that you begin to change, grow, and transform.”",Roy T. Bennett
"“The truth is, unless you let go, unless you forgive yourself, unless you forgive the situation, unless you realize that the situation is over, you cannot move forward.”",Steve Maraboli
"“Do what is right, not what is easy nor what is popular.”",Roy T. Bennett
"“Success is not how high you have climbed, but how you make a positive difference to the world.”",Roy T. Bennett
"“Pursue what catches your heart, not what catches your eyes.”",Roy T. Bennett
“Start each day with a positive thought and a grateful heart.”,Roy T. Bennett
"“Be grateful for what you already have while you pursue your goals. If you aren’t grateful for what you already have, what makes you think you would be happy with more.”",Roy T. Bennett
"“Everything can be taken from a man but one thing: the last of the human freedoms—to choose one’s attitude in any given set of circumstances, to choose one’s own way.”",Viktor E. Frankl
"“Life is about accepting the challenges along the way, choosing to keep moving forward, and savoring the journey.”",Roy T. Bennett
“Be brave to stand for what you believe in even if you stand alone.”,Roy T. Bennett
"“Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny.”",Steve Maraboli
“Never lose hope. Storms make people stronger and never last forever.”,Roy T. Bennett
“Do not fear failure but rather fear not trying.”,Roy T. Bennett
"“Lack of direction, not lack of time, is the problem. We all have twenty-four hour days.”",Zig Ziglar
“Cry. Forgive. Learn. Move on. Let your tears water the seeds of your future happiness.”,Steve Maraboli
“You never change your life until you step out of your comfort zone; change begins at the end of your comfort zone.”,Roy T. Bennett
"“Do not let the memories of your past limit the potential of your future. There are no limits to what you can achieve on your journey through life, except in your mind.”",Roy T. Bennett
“Let the improvement of yourself keep you so busy that you have no time to criticize others.”,Roy T. Bennett
